英,汉
starving,v.“starve”的现在分词
emergency,n.突发事件；紧急情况
early,"adj.早期的；初期的；早先的；早到的
adv.在早期；在初期；在开始阶段；提早"
secrecy,n.保密；秘密
bit,"n.钻头；比特；小块；嚼子
v.约束；“bite”的过去式和过去分词；给(马)上嚼子"
yourparents,web.尊亲
necessary,"n.必需品；〈口〉必需的金钱[行动]；〈美方〉厕所
adj.必需的；必要的；必然的；无法避免的"
gift,"n.礼物；天赋；才能；赠品
v.白送；白给"
shriners,web.兄弟会；圣地兄弟会；教派
signal,"n.信号；信号灯；标志；预示
v.标志；预示；示意；表示
adj.重大的；显要的"
sized,"adj.有…大小的；依据大小排列的
v.“size”的过去式和过去分词"
nipple,n.乳头；奶嘴；橡胶乳头；乳头状物品
nose,"n.鼻子；机头；嗅觉；有…鼻子的
v.小心翼翼地向前移动；拱"
security,n.安全；证券；担保；保证
works,"n.工作；著作；行为；工厂
v.有效；运转；制造；成功"
jews,"v.〈集合词〉犹太人；犹太教；犹太人的世界；-dom
n.犹太人"
sends,"v.送；寄；派；赐
n.波浪的推(进)力；船的纵摇"
born,"v.出生；出世；出现；形成
adj.天生（有某方面才能）的"
growth,n.生长；增长；成长；发育
dear,"adj.亲爱的；宝贵的；珍视的；（用于信函抬头的名字或头衔前）亲爱的
n.仁慈的人；可爱的人；（称呼所爱的人）亲爱的；乖乖
adv.高价地；昂贵地
int.（惊奇、不安、烦恼、担忧等时说）啊"
ourselves,pron.亲自；（we 的反身形式）我们自己
trust,"n.信任；信托；相信；信赖
v.信任；相信；信赖；希望"
unlocked,"v.打开；开启；开锁；实现
adj.未锁的"
tube,"n.管；管子；道；电视
v.把…装上管；把…弄成管状；使通过管子；〈英〉坐地下铁道车去"
hepatitis,n.肝炎
everything,pron.一切；所有事物；每件事；形势
connecting,"adj.连接着的；起连接作用的
v.“connect”的现在分词"
dimples,"n.酒窝；涟漪；凹痕；凹处
v.(使)生酒窝；做出凹痕；(使)起波纹；(使)起涟漪"
proc,web.定义过程；存储过程(Procedures)；文件系统
christmas,"n.【宗,基督】圣诞节；圣诞节时期"
standing,"n.地位；身份；级别；名声
adj.长期存在的；永久性的；常设的；站着进行的
v.“stand”的现在分词"
biased,"adj.偏向；偏重；有偏见的；倾向性的
v.“bias”的过去式和过去分词"
business,n.商业；企业；商务；生意
marketing,"n.营销；促销；销售活动
v.“market”的现在分词"
ridley,n.里德利
drums,"n.鼓；滚筒；（装油或化学剂的）大桶；鼓状物
v.打鼓；击鼓；连续敲击…使发出咚咚声；不停地击打"
losing,"n.失败；(尤指投机等的)损失
adj.亏本的；看来要输的；失败的
v.“lose”的现在分词"
dormant,adj.休眠的；蛰伏的；暂停活动的
alexand,web.亚历山大；畅游亚历山大；降婚厌太礼昌挂
angeles,n.【女名】女子名
decimate,v.大量毁灭；严重破坏；大大削弱
mouth,"n.口；嘴；河口；开口
v.（动嘴唇）不出声地说；言不由衷地说"
backup,"n.后援；增援；（文件等的）备份
adj.后补的；支持性的；伴奏的"
road,"n.道路；公路；途径；方法
v.(狗)闻着臭迹追"
seeing,"v.看；参见；看见；见到
n.主教（或大主教）教区；主教（或大主教）权限；牧座"
burning,"adj.着火的；燃烧的；热的；烫的
adv.灼热地
v.""burn""的现在分词形式"
caretaker,"n.（建筑物的）管理员；（主人外出时房地产的）看管人；照看人；监护人
adj.临时代理的；暂时主管的"
brush,"n.刷；画笔；刷子；毛刷
v.掸；刷亮；（用刷子）抹；轻擦"
joyce,n.乔伊斯；【女名】女子名
wrap,"v.包；用…包裹（或包扎、覆盖等）；用…缠绕（或围紧）；（使文字）换行
n.围巾；包裹（或包装）材料；停机"
bubonic,adj.腹股沟腺炎性的
ppears,
holism,n.机能整体性医学观念；全体说；【哲学】整体论；整全观
aren,web.阿朗；阿伦韦斯卡省；雅伦
support,"v.支持；支护；支撑；支援
n.支持；支护；支撑；支承"
continental,"adj.欧洲大陆的（不包括英国和爱尔兰）；随（西、南欧国家）大陆风俗的
n.（欧洲）大陆人"
los,"abbr.(=line of sight)视线
n.〈美口〉Los Angeles 的简称"
rapey,web.拉佩
dynamite,"n.甘油炸药；黄色炸药；达纳炸药；具有爆炸性的事物
v.爆破；炸毁"
yah,"int.好（书写时用，表示带上流社会口音的 yes）；（表示评价低）啧
adv.〈美〉同“yes. a yah-man”"
mountains,n.山；山脉；高山；山峰
head,"n.头；头部；头脑；负责人
v.主管；领导；朝（某方向）行进；位于排行之首
adj.头的；主要的"
north,"n.北；北方；北部；北部地区
adj.北方的；向北的；北部的；北风的
adv.朝北；向北；某物以北；超过"
brand,"n.品牌；类型；烙印（尤指农场牲畜身上表示所属的印记）
v.（尤指不公正地）丑化（某人）；给（牲畜）打烙印"
hi,"int.〈非正式〉嗨
abbr.夏威夷群岛的书面缩写(=high intensity)高强度"
uncle,n.叔父；伯父；伯伯；舅父
pitched,"adj.倾斜的
v.“pitch”的过去分词和过去式"
highest,"adv.高；在高处；向高处；（成本、价值）高；高；奢侈地；高价地
n.高位；〈美〉同“high school”；高地；〈美〉中学；最高水平；最大数量；高气压区；反气旋
adj.高度的；剧烈的；非常的；偏激的；高的；有某高度的；（离地面）很高的；海拔很高的"
true,"adj.符合事实的；确实的；如实的；真正的（而非表面上的）
adv.笔直地；不偏不斜地；直言相告；实话实说
v.配准；校准；整形"
intestines,n. [解剖] 肠（intestine的复数）；内脏；下水
happening,"n.事件；发生的事情（常指不寻常的）；即兴艺术表演
adj.热闹的；时髦的
v.“happen”的现在分词"
made,"adj.…制的；拼成的；虚构的；体格…的
v.“make”的过去式和过去分词"
minne,web.明纳；敏娜；蜜妮
blockage,n.堵塞；阻塞；造成阻塞的东西；阻塞物
wish,"n.希望；愿望；祝福；心愿
v.祝；祝愿；想要；盼望"
sounds,"n.声音；发音；音响；噪音
v.发音；响；宣告；鸣响
adj.正确的；合法的；见解正确的；合逻辑的
adv.充分地"
churro,web.西班牙油条；油炸面包棍；炸油条
monument,n.丰碑；纪念碑（或馆、堂、像等）；历史遗迹；有历史价值的建筑
minutes,"n.分；备忘录；一瞬间；一会儿工夫
v.记录；精确地测定…的时间
adj.细小的；琐碎的；极少的；精密的"
phil,n.菲尔；【男名】男子名
al,"abbr.(=Arab League)阿拉伯联盟
n.【男名】男子名"
deep,"adj.深的；厚的；纵深的；宽的
adv.深深地；在深处；至深处
n.海；海洋"
an,art.一(件；个；场…)
cure,"n.治疗；对策；药；疗法
v.治愈；解决；矫正；治好（疾病）"
eric,n.埃里克；【男名】男子名
again,adv.再一次；又一次；再说；复原
incredible,adj.不能相信的；难以置信的；极好的；极大的
dressed,"adj.穿着衣服；穿着…服装
v.“dress”的过去分词和过去式"
fears,"v.担忧；害怕；忧虑；畏敬
n.担心；畏惧；(对神的)敬畏；可能"
detail,"n.细节；详情；琐事；细微之处
v.详细说明；详述；详细列举；派遣"
special,"n.特别节目；特制品；特价(处理)
adj.不寻常的；特定的；特别的；很重要的"
smell,"n.闻；气味；嗅觉；臭味
v.闻；闻到；有（或发出）…气味；能闻到气味"
eternity,n.永恒；永生；不朽；（似乎）无穷无尽的一段时间
alco,web.艾默生；艾可；爱高
welcome,"n.欢迎；迎接；接待；接受
int.欢迎
v.欣然接受；迎新；（打招呼）欢迎（某人的到来）；欢迎（新来的人）
adj.令人愉快的；受欢迎的；受款待的；（表示乐于让某人做某事）可随意"
bundle,"n.包；一批（同类事物或出售的货品）；风趣的人；笑料
v.匆匆送走；推搡；赶；（成群地）匆忙赶往"
journey,"n.旅行；旅程；〈文学〉历程；过程
v.〈正式〉到…旅行；到…旅游"
chris,n.克里斯；克莉丝；【女名】女子名；【男名】男子名
revolve,v.(使)旋转；〈非正式〉以…为主要(考虑)；以…为中心(兴趣)
building,"n.建筑；建筑物；楼房；房子
v.“build”的现在分词"
natalie,n.纳塔莉；【女名】女子名
e,na.同“Ecstasy”；英文字母表第五字母；【乐】E调；E字形
faster,"adv.快速；迅速；不久；立即；快；(睡)熟；放荡；牢固地；速；(睡)熟；放荡；紧紧地
v.禁食；节制饮食；忌食某些食物；禁食；节制饮食；忌食某些食物；禁食
n.绝食；(宗教上的)禁食；绝食期；斋戒；绝食；禁食期；禁食期；斋戒期
adj.坚牢的；固定的；可靠的；耐久的；牢实的；固定的；可靠的；耐久的；快的；迅速的；敏捷的；迅速发生的"
bullet,n.子弹；弹丸
wife,n.妻子；太太；老婆；夫人
together,"adv.一起；在一起；共同；同时
adj.自信而妥实的"
sounded,"n.响；声音；发音；闹声
v.响；发音；鸣响；用声音传播
adj.正确的；正当的；见解正确的；合逻辑的
adv.充分地"
gonorrhea,n.淋病
xenon,n.氙；氙气
underrated,v.“underrate”的过去分词和过去式
corpse,"n.尸体；死尸；尸首
v.〈俚〉【戏】(演员)因发笑而忘词；〈俚,俗〉杀死"
once,"adv.一次；曾经；仅一次；根本
conj.一旦；一…就；当…时候
n.一次
adj.从前的"
raining,"n.下雨；阵雨；雨天；(热带地方的)雨季
v.下雨；雨一般地落下；使像雨一样地落下；厚施(恩惠等)"
diss,"n.【罗神】阎王；地狱
v.对…不尊重"
pardon,"n.原谅；赦免；宽恕；特赦
int.对不起；抱歉；请再说一遍
v.赦免；特赦；原谅（表示礼貌时常用的词语）"
whoever,pron.无论谁；…的那个人（或那些人）；…的任何人；不管什么人
dance,"n.舞蹈；跳舞；舞会；舞曲
v.跳舞；雀跃；跳…舞；跳跃"
focus,"n.关注；调焦；源；中心点（指人或事物）
v.集中（注意力、精力等于）；（使）调节焦距；集中（光束于）"
four,"num.四
n.四个人（或事物）的一组；得四分的一击；四人赛艇的全体成员"
known,"adj.知名的；出了名的；已知的
v.“know”的过去分词"
hanging,"n.绞刑；绞死；墙幔；帷幔
adj.垂下的；悬挂用的；应绞死的；倾斜的
v.“hang”的现在分词"
saved,"v.救；拯救；节省；储蓄
conj.除去；若不是；只是
n.救球；阻碍对方得分
prep.除了"
young,"n.青年人；幼崽；幼兽；幼鸟
adj.幼小的；未成熟的；年轻的；岁数不大的"
languager,web.语言者
charge,"n.收费；主管；指控；掌管
v.收费；充电；冲锋；指责"
must,"auxv.必须；一定；一定要；只好
adj.〈口〉绝对需要的；(特指象因性欲冲动而)狂暴的
n.必须做（或看、买等）的事"
premium,"n.保险费；额外费用；奖金；津贴
adj.优质的；昂贵的；价格更高的"
jerk,"v.猛拉；使(某人或某物)猛的一动
n.突然而剧烈的动作
adj.卤的"
far,"adv.远；远远；大大；久
adj.较远的；远端的；远方的；遥远的"
rise,"v.上升；增长；提高；升起
n.上升；提高；加薪；斜坡"
screwdriver,n.螺丝刀；改锥；伏特加橙汁鸡尾酒；螺丝刀（鸡尾酒）
piggybacking,adv.同“pickaback”
every,"adj.每；所有的；一切可能的；无论哪个…都
adv.每个；每隔；所有可能的；完全可能的"
fall,"v.下降；跌倒；落下；跌落
n.落下；跌落；下落；掉落
adj.〈美〉秋天的；秋天成熟的；(衣服等)秋天用的"
exact,"adj.精确的；准确的；严谨的；严格的
v.要求；索取；迫使；强迫"
school,"n.上学；学院；学派；大学
v.教育；训练；使学会；培养"
die,"v.死；死亡；消失；消亡
n.模具；冲模；压模"
marry,"v.嫁；娶；（和某人）结婚；为…主持婚礼
int.〈古〉哎呀
n.【女名】女子名"
solution,n.解；溶液；解决办法；答案
reminding,v.提醒 (of； that； how)
dinosaur,n.恐龙；守旧落伍的人；过时落后的东西
mammal,n.哺乳动物
clothes,"n.衣服；服装
v.“clothe”的第三人称单数"
enjoy,v.享受；欣赏；享有；喜爱
hating,"v.恨；〈口〉不愿；嫌
n.怨恨；嫌恶"
puh,web.罩上(Pop-up Hood)；激光头；芛
air,"n.空气；空中；天空；神态
v.晾；播出；播送；晾干"
stands,"n.站；立场；台；架
v.忍受；站立；起立；承受"
suppose,v.假设；假定；设想；料想
told,v.tell(告诉)的过去式和过去分词
hairs,n.头发；毛状物；毛状金属丝；毛发织物
genes,n.基因；遗传基因；遗传因子
water,"n.水；水域；河；海域
v.灌溉；给…浇水；充满眼泪；流口水"
possibility,n.可能性；机会；可选择的方法；契机
along,"prep.沿着；顺着；靠着…边；沿着…的某处（或旁边）
adv.一起；向前；越来越（好）"
outdone,"adj.烦恼的
v.“outdo”的过去式和过去分词"
celebration,n.庆祝；庆典；庆祝活动；颂扬
mantis,n.【虫】螳螂
derby,n.德比；速度比赛；体育竞赛；德比马赛（特指几个一年一度的马赛）
usually,adv.通常；一般；常常
opinion,n.意见；看法；想法；（群体的）观点
makes,"v.做；制造；使得；制定
linkv.成为；等于；适合；合计
n.（机器、设备等的）品牌"
vole,"n.田鼠
v.【牌】全胜"
golden,"n.戈尔登；【女名】女子名
adj.金质的；金的；金色的；金黄色的"
named,"adj.被指名的
v.“name”的过去式和过去分词"
crazy,"n.〈非正式〉疯子
adj.(发)疯的；神经病的；疯癫的；不理智的"
private,"adj.私有的；私用的；自用的；为一部分人的
n.列兵（级别最低的士兵）"
texts,n.课文；原文；(文艺学等所说的)文本；主题
cronenberged,
everybody,pron.人人
confidence,"n.信心；信任；自信心；信赖
adj.骗得信任的"
dna,"abbr.(=deoxyribonucleic acid)【生化】去[脱]氧核糖核酸
n.脱氧核糖核酸（动植物的细胞中带有基因信息的化学物质）"
proceed,"v.继续做（或从事、进行）；接着做；继而做；行进
n.(从事某种活动或变卖财物等的)收入；卖得金额；收益"
hospital,n.医院
dude,n.伙计；〈口〉(从美国东部去西部度假的)城里人；花花公子
finally,adv.终于；最终；（用于列举）最后；彻底地
insides,"n.内部；内心；〈口〉内脏；内幕情报[消息]
adj.里面的；内幕的；在室内工作的
adv.在内
prep.在…里面"
loving,"adj.爱的；充满爱的；爱好…的；钟爱…的
v.“love”的现在分词"
horses,n.赛马；【动】马；(体操用)木马；脚手架
chimpanzee,n.黑猩猩
aware,adj.意识到；知道；明白；发现
basically,adv.基本上；大体上；〈口〉主要地
rabbit,"n.兔肉；兔毛；【动】兔子；弱手
v.猎兔；〈非正式〉唠叨；喋喋不休"
penis,n.阴茎
oxytocin,n.【生化】后叶催产素
glad,adj.高兴；乐意；愿意；愉快
women,"n.〈集合词〉妇女；女人；成年女人；女人性格
adj.妇女的；女性的
v.对(女人)打招呼；为…配备女操作人员[女船员等]"
town,n.镇；市镇；集镇；（某一市镇的）居民
animals,"n.动物；牲畜；兽；牲口
adj.动物的；肉欲的"
room,"n.房间；室；空间；客房
v.租房；合住"
science,n.科学；理科；自然科学；自然科学的学习与研究
mo,"abbr.(=Monday)(=molybdenum)【化】钼
n.顷刻；瞬间"
flu,n.流感；流行性感冒
mr,na.…先生
ernest,n.欧内斯特；【男名】男子名
bites,"n.咬；咬伤；上钩；蜇伤
v.咬；叮；上钩；蜇"
proof,"n.证明；证据；检验；证实
adj.能抵御；能防范；可防护；防…的
v.给（织物等）做防护处理；使防水（或防火等）；印…的校样"
shark,"n.〈非正式,比喻〉骗子；【鱼】鲨鱼；敲诈勒索者
v.用不正当手段攫取；榨取；骗取；勒索"
collision,n.抵触；碰撞（或相撞）事故
pulling,"v.拉；拖；吸引；勒(马)
n.拉；拉力；〈美〉(对人的)吸引力；好处"
slip,"v.溜；下降；滑落；摆脱
n.纸条；衬裙；纰漏；差错
abbr.(=Serial Line Internet [Interface]Protocol)【计】串线网际协议"
sense,"n.意识；意义；理智；判断力
v.意识到；感觉到；觉察出；检测出"
serum,n.血清；免疫血清；浆液（体液的水样部分）
information,n.信息；资料；情报；资讯
breaking,"n.中断；休息；破裂；机会
v.中断；破坏；碎；打断"
nuts,"adj.疯狂；执着；迷恋；狂热
int.不见得；热爱着；狂热于；精通…的
n.“nut”的复数"
very,"adv.非常；十足；完全同样；完全同一
adj.同一的；（强调极限的地点或时间）最…的；甚至于
n.维利"
advice,n.建议；意见；忠告；劝告
wrong,"adv.不对；不正确；错误地
adj.出错；搞错；不道德；错误的
n.不义行为；欺骗行径；恶行；犯罪
v.不公正（或不诚实）对待"
fouled,"v.污染；(在比赛中)犯规；使纠缠；使壅塞
adj.【体】违反规则的；腐烂的；有恶臭的；不利航行的
n.(在比赛中)犯规；脏东西；逆境；碰撞
adv.碰撞地；争执不和地；犯规地"
blood,"n.血；血统；有…类型的血的；家世
v.让（新人）初试"
date,"n.日期；约会；日子；年代
v.过时；注明日期；写上日期；确定年代"
racetrack,n.跑道；赛道；赛马跑道；赛马场
haste,"n.匆忙；仓促；急速
v.匆忙；催促"
goodbye,int.再见；再会
african,"adj.非洲的；非洲人的
n.非洲人"
dream,"n.梦；睡梦；梦想；理想
v.做梦；梦见；想象；梦想"
brain,"n.脑；脑力；智力；（供食用的）动物脑髓
v.猛击…的脑袋致死"
scientist,n.科学家；科学工作者
mayor,n.市长；镇长
bunch,"n.束；串；扎；大量
v.成皱褶"
messed,"n.混乱；大杂烩；肮脏；错误
v.弄脏；搞乱；妨碍；干扰"
fit,"adj.健壮的；健康的；（质量、素质或技能）适合的
n.（癫痫等的）突发；昏厥；痉挛；一阵（忍不住的咳嗽、笑）
v.合身；（大小、式样、数量适合）可容纳；试穿（衣服）；安置
adv.适合地；适时地"
selves,"n.自己；自身；本身；【哲】自我
adj.纯净的；一样的；单一的；(颜色等)同一的
v.使近亲繁殖；使同种繁殖；【植】使自花受精；【植】自花受精"
interesting,"adj.有趣的；有吸引力的
v.“interest”的现在分词"
fix,"v.修理；确定；安排；安装
n.定位；困境；（尤指简单、暂时的）解决方法"
late,"adj.晚；迟到；晚期；晚到
adv.晚；晚期；迟；最近"
willing,"adj.愿意；乐意；自愿的；乐于相助的
v.“will”的现在分词"
antidote,n.解毒药；解毒剂；消除不快的事物；矫正方法
fool,"n.傻瓜；蠢人；弄臣；奶油果泥
v.愚弄；欺骗；说蠢话
adj.傻的；愚蠢的"
babies,"n.婴儿；宝贝儿；动物幼崽；（家庭或团体中）最年幼的成员
v.婴儿般对待；百般呵护
adj.幼嫩的"
thrones,"n.王权；(帝王的)宝座；王[帝]位；皇帝
v.使登基"
ya,"pron.你
n.还有一个"
break,"n.中断；休息；破裂；机会
v.中断；破坏；碎；打断"
effects,n. 效果（effect的复数形式）；财物
hands,"n.手；人手；插手；手法
v.交付；传递给；用手搀扶；【航】卷叠(风帆)"
interrupt,v.打扰；插嘴；打岔；使暂停
realize,v.〈正式〉实现；意识到；领悟；理解
decapitate,v.杀头；斩首
haphazardly,adv.不规则
pregnant,adj.妊娠的；怀孕的；饱含；充溢着
always,adv.总是；一直；一贯；每次都是
billy,n.带盖金属罐（有柄，露营时烧水或煮东西用）
beneath,"prep.在（或往）…下面；在（或往）…下方；（对某人来说）不够好
adv.在下位；在地下"
side,"n.边；身边；一边；一面
adj.旁；横；副的；片面的
v.支持；偏袒；宽度仅有…；站在…的一边"
luck,"n.运气；幸运；好运；侥幸
v.侥幸成功"
eh,int.嗯；（请对方再说一遍）嗯；（表示惊奇）啊
related,"adj.相关的；有联系的；属同一家族的；有亲属关系的
v.“relate”的过去式和过去分词"
bradley,n.布拉德利；【男名】男子名
happen,"v.发生；出现；向对方表示异议或不悦等
linkv.碰巧；恰好"
beyond,"prep.超出；在（或向）…较远的一边；晚于；迟于
n.那边
adv.以远；在另一边；在（或向）更远处"
special,"n.特别节目；特制品；特价(处理)
adj.不寻常的；特定的；特别的；很重要的"
laid,v.lay(放、铺）的过去式和过去分词
mate,"n.伙伴，同事；老兄，老弟（工人、水手间的亲密称呼）；配偶（男女任何一方）
v.(使)交配；(使)紧密配合；【象棋】逼将，将军"
cause,"n.原因；事业；病因；理由
v.导致；使；引起；产生"
serums,n.【医】血清；血浆；浆液；树液
math,n.数学
harold,n.哈洛德；【男名】男子名
turning,"n.转弯处；拐弯处；岔路口
v.“turn”的现在分词"
jessica,n.洁西卡；【女名】女子名
tops,"n.顶；顶部；顶端；上面
v.胜过；超过（某一数量）；居…之首；为…之冠
adj.（位置、级别或程度）最高的；很好的；极棒的；顶呱呱的"
bothering,"v.打扰；烦恼；使糊涂；=damn
n.烦扰；吵闹；讨厌的人
int.讨厌"
reason,"n.原因；理由；理性；道理
v.推理；思考；推断；推论"
complicated,"adj.复杂的；难懂的
v.“complicate”的过去分词和过去式"
lever,"n.杆；手段；利弗〔姓氏〕；矫平机
v.（用杠杆）撬动"
beginning,"n.开头；开端；开始部分；原始思想
v.“begin”的现在分词"
grab,"n.猛然的抓取；突然的抢夺；抓取（或截获、采集）的图像；抓斗
v.抓住；攫取；（试图）抓住；抓住（机会）"
card,"n.信用卡；贺卡；插件；怪人
v.（用钢丝刷）梳理；要求出示身份证（以确认年龄，如购酒时）"
retriever,n.寻回犬
cured,"n.固化；治愈；治疗；对策
v.治愈；救治；硫化(橡胶)；(用腌,熏等法)保藏(鱼肉等)"
davin,web.达文；戴文；聪明的芬兰人
thread,"n.螺纹；线索；思路；脉络
v.穿过；穿（针）；纫（针）；（使）穿过"
created,v.创造；产生；创作；设立
ritual,"n.习惯；程序；仪规；礼节
adj.仪式上的；庆典的；习惯的；老套的"
punk,"adj.低劣的；不适当的
n.朋客摇滚乐（流行于 20 世纪 70 年代后期和 80 年代初期）"
times,"n.（用于比较）倍
prep.乘以
v.“time”的第三人称单数"
turn,"v.转向；转身；翻；转弯
n.转向；转变；转动；旋动
linkv.成为；超过（某一年龄或时间）"
heck,"n.〈英口〉同“hell”；〈英方〉(河里阻拦鱼游向的)鱼栏
int.表示略微烦恼或吃惊"
isn,web.网络(International Student Network)；国际肾脏病学会(International Society of Nephrology)；序列号
ionic,"adj.离子的；电价的；爱奥尼亚柱式的（古希腊建筑风格，有涡卷饰）
n.爱奥尼亚语；【印】一种粗字面铅字"
buckle,"v.（使）搭扣扣住；（被）压垮；双腿发软
n.（皮带等的）搭扣"
blind,"adj.瞎的；失明的；（对某事）视而不见的；盲目接受的
n.盲人；窗帘；（尤指）卷帘；用以蒙蔽人的言行
v.使变瞎；使失明；使眼花；使目眩
adv.视线受阻地；仅靠仪表操纵地；盲目地"
already,adv.已经；到现在还；这么早就；用于描述一个已经存在的糟糕情况时
airborne,adj.飞行中；升空后；空降的；使用降落伞降落的
carry,"v.携带；搬；拿；提
n.携带；〈美〉运输；空；(两条水道间)陆上运送"
miss,"v.错过；思念；怀念；赶不上
n.错过；女士；未击中；（选美比赛优胜者的头衔）小姐"
horse,n.赛马；【动】马；(体操用)木马；脚手架
district,"n.区；地区；区域；行政区
v.把…分区"
unknown,"n.未知数；未知的地方（或事物）；无名者；不出名的人
adj.未知的；不详的；未被确认的；不出名的"
breed,"v.交配繁殖；饲养；孕育；导致
n.品种（尤指人工培育的狗、猫或牲畜）；种类"
girls,n.女孩子；女儿；小姐；女店员
least,"adv.最小；最少；微不足道；最小的
n.最小
adj.最小的；最不重要的；(动,植物)最小种类的；〈美方〉年纪最小的"
vagina,n.【解】阴道；【生】叶鞘
kid,"n.小孩；年轻人；小山羊；小山羊皮革
v.开玩笑；哄骗；戏弄；欺骗
adj.妹妹；弟弟"
speaking,"n.谈话；语言；传说
adj.说话的；逼真的；雄辩的
v.“speak”的现在分词"
urban,adj.城市的；都市的；城镇的；都市音乐的
season,"n.季节；旺季；雨季；（一部戏剧在一地的）演出期
v.加调料调味；加作料"
nobody,"n.小人物；无足轻重的人
pron.没人；无人"
released,"n.释放；发表；放出；解脱
v.释放；解放；投(炸弹)；使免除"
gruesome,adj.令人厌恶的；恐怖的；可怕的
irresponsible,"adj.不负责任的；无责任感的
n.无责任心的人"
believe,v.相信；认定；认为真实；把（某事）当真
b,na.【数】(顺序)第二；第二已知数；〈美〉(学业成绩)良好；B级
gotta,na.〈俚〉同“ got to”
marriage,n.婚姻；结婚；婚礼；婚姻生活
loves,"n.爱；爱情；爱好；爱人
v.爱；爱戴；有…的倾向 (to do) 〔口语〕欢喜；(两性间)爱慕"
feeling,"n.感觉；感情；知觉；看法
adj.敏感的；富有感情的"
bridge,"n.桥；桥梁；桥牌；舰桥
v.在…上架桥"
divvy,"v.分摊；拿一份
n.〈美俚〉(分得的)份儿"
neutralize,v.中和；使无效；使成为中性；使中立
turned,"v.转；转向；变；改变
n.转身；转向；〈美〉拥挤在场外的群众；旋转(运动)"
mine,"n.矿；矿井；地雷；水雷
v.采矿；布雷；埋雷于；用雷炸毁（车辆）
pron.我的；我的家"
banging,"n.冲击；棒打；快感；服用(麻醉品)
v.超过；咚地敲(鼓等)；当地撞(钟等)；轰地开(炮等)
adv.突然；轰然；〈口〉正巧；全然"
talking,"adj.(会)说话的；多嘴的；富于表情的(眼睛等)
v.“talk”的现在分词"
mates,"n.伙伴，同事；老兄，老弟（工人、水手间的亲密称呼）；配偶（男女任何一方）
v.(使)交配；(使)紧密配合；【象棋】逼将，将军"
rap,"v.敲击；击打；突然大声说出；突然厉声说出
n.叩击；快速的敲击；说唱音乐（节奏快而强，配有快速念白的流行音乐）"
seem,"linkv.似乎；觉得似乎；（表示不确切或客气）看来好像
n.做作的人"
saw,"n.锯；谚语；格言
v.锯；拉锯似地来回移动（某物）"
sterilized,v.消毒；〈美〉(政治上)对…进行安全审查；使(土地)荒瘠；使不孕
cactus,n.【植】仙人掌
soak,"v.浸泡；浸湿；浸透；湿透
n.浸泡；浸渍；湿透；洗澡"
self,"n.自我；本人；本来面目；个性
adj.纯净的；一样的；单一的；(颜色等)同一的
v.使近亲繁殖；使同种繁殖；【植】使自花受精；【植】自花受精"
extracted,"v.提取；引用；抽出；【数】开(方)
n.抽出物；精华；【药】浸膏；拔萃"
build,"v.建造；创建；建筑；开发
n.体格；身材；体形"
genetically,adv.遗传上地
play,"v.演奏；播放；扮演；游戏
n.游戏；玩耍；比赛；作用"
unless,"conj.除非；若非；除非在…情况下；如果不
prep.除…之外"
though,"conj.虽然；尽管；然而；即使
adv.然而"
falls,"v.下降；跌倒；落下；跌落
n.落下；跌落；下落；掉落
adj.〈美〉秋天的；秋天成熟的；(衣服等)秋天用的"
passover,n.【宗】(犹太人的)逾越节；耶稣；逾越节祭神的羔羊
virus,n.病毒；病毒病；滤过性病毒；病毒性疾病
beth,n.贝丝；希伯来语第二个字母；【女名】女子名
forever,"n.永恒；相当长的时间
adv.永远地；〈非正式〉老是；永无止境地；永恒地"
considered,"adj.考虑过的；被尊重的
v.“consider”的过去分词和过去式"
pulled,"adj.扯下来的；拔去了毛的；健康衰退了的
v.“pull”的过去分词和过去式"
stranded,adj.残留在垒上的
crowbar,n.铁撬棍
show,"n.演出；歌舞表演；（电视或广播）节目；（尤指摇滚）音乐会
v.表明；证明；给…看；出示"
cheat,"v.欺骗；舞弊；蒙骗；与他人有秘密性关系
n.骗子；欺诈行为；欺骗手段；（电脑游戏的）秘技"
hack,"n.砍；劈；雇佣文人（尤指廉价受雇撰写报纸庸俗文章者）
v.砍；劈；猛踢；非法侵入（他人的计算机系统）
adj.出租的；用旧了的；(文人等)被雇佣的；雇佣文人做的"
principal,"n.本金；委托人；资本；主角
adj.最重要的；主要的"
defibulizer,
based,"n.基；根据；基数；【乐】低音
adj.（以某事）为基础（或根据）；在…居住（或工作）
v.以(…)作为…的根据"
roofie,web.糊弄；如飞
hadn,web.汉顿；羟铵敌乐胺
dick,n.鸡巴；屌
behind,"prep.支持；在（或向）…的后面；在（或向）…的背面；落后于
adv.拖欠；在（或向）后面；在后面较远处；留在原地
n.屁股（义同 bottom，委婉说法）"
awareness,n.意识；认识；了解；觉察
meant,"v.意味着；用意；表示；预定
adj.卑劣的；卑贱的；卑鄙的；自私的
n.中间；中庸；【数】平均数[值]，中数；【逻】 (三段论的)中项"
doubting,"n.怀疑；疑惑；疑惧
v.怀疑；拿不准；恐怕；不信 (about of)"
listened,"v.听；听从；听上去
n.听"
means,"n.方法；方式；途径；财富
v.“mean”的第三人称单数"
beat,"v.打；超过；射；走出
n.跳动；节拍；抢先；悸动
adj.垮掉；完了；累极了；属于“垮掉的一代”的"
